slug,title,author,isbn,price,inventory,genre,format,description,image_url
"the-thursday-murder-club-a-novel-a-thursday-murder-club-mystery-1984880985","The Thursday Murder Club: A Novel (A Thursday Murder Club Mystery)","Richard Osman","1984880985","13.39","50","British & Irish","Hardcover","The Thursday Murder Club: A Novel (A Thursday Murder Club Mystery) is a highly reviewed Amazon bestselling british & irish title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51ZX4i7a7SL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"a-time-for-mercy-jake-brigance-0385545967","A Time for Mercy (Jake Brigance)","John Grisham","0385545967","11.91","50","Mystery, Thriller & Suspense","Paperback","A Time for Mercy (Jake Brigance) is a highly reviewed Amazon bestselling mystery, thriller & suspense title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51Q4FT2AIfL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"a-time-for-mercy-a-jake-brigance-novel-0593157818","A Time for Mercy: A Jake Brigance Novel","John Grisham","0593157818","7.48","50","Mystery, Thriller & Suspense","Hardcover","A Time for Mercy: A Jake Brigance Novel is a highly reviewed Amazon bestselling mystery, thriller & suspense title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51aDRE8I0sS._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-wonky-donkey-0545261244","The Wonky Donkey","Craig Smith","0545261244","5.28","50","Animals","Board book","The Wonky Donkey is a highly reviewed Amazon bestselling animals title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51cHCkvvKiL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-wonky-donkey-book-toy-boxed-set-1407197797","The Wonky Donkey Book & Toy Boxed Set","Craig Smith","1407197797","23.41","50","Growing Up & Facts of Life","Board book","The Wonky Donkey Book & Toy Boxed Set is a highly reviewed Amazon bestselling growing up & facts of life title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41ncza+3a3L._SX258_BO1,204,203,200_.jpg"
"my-first-learn-to-write-workbook-practice-for-kids-with-pen-control-line-tracing-letters-and-more-1641526270","My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!","Crystal Radke","�� 1641526270","4.53","50","Education & Reference","Spiral-bound","My First Learn to Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More! is a highly reviewed Amazon bestselling education & reference title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51ABc0hukNL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-alchemist-gift-edition-0060887966","The Alchemist - Gift Edition","Paulo Coelho","0060887966","37.52","50","Reference","Paperback","The Alchemist - Gift Edition is a highly reviewed Amazon bestselling reference title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41RV3UHnwsL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-alchemist-25th-anniversary-a-fable-about-following-your-dream-0062315005","The Alchemist, 25th Anniversary: A Fable About Following Your Dream","Paulo Coelho","0062315005","8.89","50","Genre Fiction","Hardcover","The Alchemist, 25th Anniversary: A Fable About Following Your Dream is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51kcX5PpaZL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"rich-dad-poor-dad-what-the-rich-teach-their-kids-about-money-that-the-poor-and-middle-class-do-not-1612680178","Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","1612680178","14.64","50","Business & Money","Mass Market Paperback","Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not! is a highly reviewed Amazon bestselling business & money title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51u8ZRDCVoL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"american-dirt-oprah-s-book-club-a-novel-1250209765","American Dirt (Oprah's Book Club): A Novel","Jeanine Cummins","1250209765","16.75","50","Genre Fiction","Paperback","American Dirt (Oprah's Book Club): A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51hwe011M+L._SY344_BO1,204,203,200_.jpg"
"the-5-love-languages-the-secret-to-love-that-lasts-080241270x","The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","080241270X","7.57","50","Self-Help","Spiral-bound","The 5 Love Languages: The Secret to Love that Lasts is a highly reviewed Amazon bestselling self-help title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41WJkoSnqEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"if-animals-kissed-good-night-0374300216","If Animals Kissed Good Night","Ann Whitford Paul","0374300216","4.44","50","Growing Up & Facts of Life","Hardcover","If Animals Kissed Good Night is a highly reviewed Amazon bestselling growing up & facts of life title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51PRQuO-xjL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"harry-potter-hardcover-boxed-set-books-1-7-0545044251","Harry Potter Hardcover Boxed Set: Books 1-7","J. K. Rowling","0545044251","132.99","50","Growing Up & Facts of Life","Paperback","Harry Potter Hardcover Boxed Set: Books 1-7 is a highly reviewed Amazon bestselling growing up & facts of life title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51qOOVlgR+L._SX258_BO1,204,203,200_.jpg"
"harry-potter-paperback-box-set-books-1-7-0545162076","Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling","0545162076","39.99","50","Growing Up & Facts of Life","Hardcover","Harry Potter Paperback Box Set (Books 1-7) is a highly reviewed Amazon bestselling growing up & facts of life title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41XlFN304wL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-subtle-art-of-not-giving-a-f-ck-a-counterintuitive-approach-to-living-a-good-life-0062457713","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson","0062457713","11.50","50","Self-Help","Paperback","The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life is a highly reviewed Amazon bestselling self-help title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51mN3bY0JjL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"harperluxe-the-subtle-art-of-not-giving-a-f-ck-a-counterintuitive-approach-to-living-a-good-life-0062899147","HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life","Mark Manson","0062899147","20.71","50","Self-Help","Hardcover","HarperLuxe The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life is a highly reviewed Amazon bestselling self-help title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51AffTW1D6L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"educated-a-memoir-0099511029","Educated: A Memoir","Tara Westover","0099511029","13.00","50","Biographies & Memoirs","Paperback","Educated: A Memoir is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/417zjFiUwEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"educated-a-memoir-random-house-large-print-9780525589983","Educated: A Memoir (Random House Large Print)","Tara Westover","9780525589983","16.99","50","Biographies & Memoirs","Hardcover","Educated: A Memoir (Random House Large Print) is a highly reviewed Amazon bestselling biographies & memoirs title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/414TLNDFVML._SY291_BO1,204,203,200_QL40_ML2_.jpg"
"think-and-grow-rich-0785833528","Think and Grow Rich","Napoleon Hill","0785833528","7.89","50","Business & Money","Paperback","Think and Grow Rich is a highly reviewed Amazon bestselling business & money title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51C33aaHq5L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"think-and-grow-rich-the-landmark-bestseller-now-revised-and-updated-for-the-21st-century-think-and-grow-rich-series-1585424331","Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series)","Napoleon Hill","1585424331","7.49","50","Business & Money","Hardcover","Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century (Think and Grow Rich Series) is a highly reviewed Amazon bestselling business & money title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/61y04z8SKEL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"think-and-grow-rich-for-the-modern-reader-official-publication-of-the-napoleon-hill-foundation-1640952497","Think and Grow Rich: For the Modern Reader (Official Publication of the Napoleon Hill Foundation)","Napoleon Hill","1640952497","6.49","50","Business & Money","Hardcover","Think and Grow Rich: For the Modern Reader (Official Publication of the Napoleon Hill Foundation) is a highly reviewed Amazon bestselling business & money title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/41EaIfM6seL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-fault-in-our-stars-014242417x","The Fault in Our Stars","John Green","014242417X","6.10","50","Teen & Young Adult","Hardcover","The Fault in Our Stars is a highly reviewed Amazon bestselling teen & young adult title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51ED6WxFy8L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"the-last-thing-he-told-me-a-novel-1501171348","The Last Thing He Told Me: A Novel","Laura Dave","1501171348","14.00","50","Genre Fiction","Paperback","The Last Thing He Told Me: A Novel is a highly reviewed Amazon bestselling genre fiction title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51G2Y+mbUpL._SY344_BO1,204,203,200_.jpg"
"school-zone-big-preschool-workbook-320-pages-ages-3-to-5-colors-shapes-numbers-early-math-alphabet-pre-writing-phonics-following-directions-and-more-school-zone-big-workbook-series-0887431453","School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series)","School Zone","0887431453","5.99","50","Growing Up & Facts of Life","Hardcover","School Zone - Big Preschool Workbook - 320 Pages, Ages 3 to 5, Colors, Shapes, Numbers, Early Math, Alphabet, Pre-Writing, Phonics, Following Directions, and More (School Zone Big Workbook Series) is a highly reviewed Amazon bestselling growing up & facts of life title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51sYEauuTDL._SX218_BO1,204,203,200_QL40_FMwebp_.jpg"
"untamed-random-house-large-print-059340047x","Untamed (Random House Large Print)","Glennon Doyle","059340047X","16.73","50","Christian Books & Bibles","Hardcover","Untamed (Random House Large Print) is a highly reviewed Amazon bestselling christian books & bibles title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51mZRHCoP1L._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
"untamed-1984801252","Untamed","Glennon Doyle","1984801252","16.73","50","Christian Books & Bibles","Paperback","Untamed is a highly reviewed Amazon bestselling christian books & bibles title included in this import set.","https://images-na.ssl-images-amazon.com/images/I/51mwvkRIYgL._SY291_BO1,204,203,200_QL40_FMwebp_.jpg"
